Nutzername,Vorname / First name,Nachname / Surname,Bist du Student:in? / Are you a student?,"Ich studiere in... / Ich habe studiert in...
I am studying in... / I have studied in...","
Welche Exkursion wäre deine erste Wahl? / Which excursion would be your first choice?","
Welche Exkursion wäre deine zweite Wahl? / Which excursion would be your second choice?","
Welche Exkursion wäre deine dritte Wahl? / Which excursion would be your third choice?",Welcher Workshop wäre deine erste Wahl? / Which workshop would be your first choice?,Welcher Workshop wäre deine zweite Wahl? / Which workshop would be your second choice?,Welcher Workshop wäre deine dritte Wahl? / Which workshop would be your third choice?
mail@12,vorname11,nachname12,True,stadt6,exkursion7,exkursion8,exkursion10,workshop5,workshop7,workshop6
mail@124,vorname72,nachname121,True,stadt6,exkursion4,exkursion6,exkursion2,workshop11,workshop2,workshop6
mail@6,vorname5,nachname6,True,stadt6,exkursion9,exkursion6,exkursion2,workshop5,workshop1,workshop7
mail@16,vorname15,nachname16,True,stadt6,exkursion8,exkursion12,exkursion1,workshop4,workshop8,workshop11
mail@194,vorname162,nachname187,True,stadt6,exkursion11,exkursion1,exkursion12,workshop1,workshop7,workshop11
mail@94,vorname90,nachname92,True,stadt6,exkursion4,exkursion10,exkursion8,workshop8,workshop3,workshop11
mail@168,vorname144,nachname164,True,stadt7,exkursion1,exkursion10,exkursion7,workshop12,workshop1,workshop6
mail@90,vorname86,nachname88,True,stadt7,exkursion8,exkursion11,exkursion10,workshop3,workshop10,workshop5
mail@204,vorname167,nachname197,True,stadt7,exkursion10,exkursion8,exkursion11,workshop13,workshop10,workshop8
mail@186,vorname157,nachname179,True,stadt7,exkursion1,exkursion6,exkursion12,workshop15,workshop8,workshop7
mail@227,vorname182,nachname218,True,stadt7,exkursion10,exkursion2,exkursion12,workshop6,workshop13,workshop8
mail@116,vorname83,nachname114,True,stadt7,exkursion10,exkursion1,exkursion6,workshop12,workshop15,workshop8
mail@19,vorname18,nachname19,True,stadt7,exkursion10,exkursion7,exkursion3,workshop8,workshop2,workshop6
mail@52,vorname39,nachname51,True,stadt8,exkursion2,exkursion10,exkursion8,workshop6,workshop10,workshop1
mail@238,vorname10,nachname227,True,stadt8,exkursion4,exkursion1,exkursion9,workshop5,workshop2,workshop7
mail@167,vorname143,nachname163,True,stadt8,exkursion3,exkursion9,exkursion6,workshop3,workshop11,workshop1
mail@130,vorname119,nachname127,True,stadt8,exkursion11,exkursion4,exkursion8,workshop6,workshop8,workshop5
mail@159,vorname96,nachname155,True,stadt8,exkursion6,exkursion1,exkursion4,workshop3,workshop5,workshop10
mail@132,vorname120,nachname129,True,stadt8,exkursion11,exkursion4,exkursion8,workshop6,workshop8,workshop5
mail@232,vorname60,nachname222,True,stadt8,exkursion10,exkursion8,exkursion4,workshop6,workshop10,workshop8
mail@9,vorname8,nachname9,True,stadt8,exkursion4,exkursion6,exkursion8,workshop8,workshop6,workshop10
mail@88,vorname84,nachname86,True,stadt8,exkursion4,exkursion8,exkursion6,workshop1,workshop10,workshop3
mail@188,vorname43,nachname181,True,stadt8,exkursion4,exkursion11,exkursion8,workshop6,workshop5,workshop1
mail@141,vorname126,nachname138,True,stadt8,exkursion6,exkursion8,exkursion9,workshop11,workshop3,workshop8
mail@164,vorname141,nachname160,True,stadt9,exkursion1,exkursion11,exkursion8,workshop11,workshop1,workshop6
mail@189,vorname159,nachname182,True,stadt9,exkursion6,exkursion10,exkursion11,workshop6,workshop5,workshop1
mail@154,vorname3,nachname150,True,stadt9,exkursion1,exkursion8,exkursion6,workshop6,workshop8,workshop11
mail@10,vorname9,nachname10,True,stadt9,exkursion11,exkursion6,exkursion8,workshop11,workshop8,workshop9
mail@50,vorname49,nachname26,True,stadt9,exkursion4,exkursion1,exkursion10,workshop12,workshop1,workshop13
mail@36,vorname35,nachname36,True,stadt13,exkursion9,exkursion6,exkursion4,workshop1,workshop10,workshop11
mail@83,vorname79,nachname82,False,stadt13,exkursion10,exkursion8,exkursion7,workshop2,workshop2,workshop2
mail@121,vorname11,nachname118,True,stadt13,exkursion10,exkursion7,exkursion2,workshop8,workshop10,workshop1
mail@125,vorname114,nachname122,True,stadt13,exkursion4,exkursion2,exkursion3,workshop5,workshop9,workshop15
mail@129,vorname118,nachname126,True,stadt8,exkursion1,exkursion4,exkursion9,workshop7,workshop5,workshop2
mail@140,vorname70,nachname137,True,stadt13,exkursion7,exkursion10,exkursion11,workshop1,workshop11,workshop7
mail@142,vorname39,nachname139,True,stadt8,exkursion5,exkursion6,exkursion4,workshop8,workshop9,workshop1
mail@184,vorname121,nachname178,True,stadt13,exkursion1,exkursion10,exkursion9,workshop12,workshop1,workshop6
mail@196,vorname155,nachname189,True,stadt8,exkursion6,exkursion1,exkursion8,workshop1,workshop3,workshop6
mail@209,vorname102,nachname18,True,stadt13,exkursion12,exkursion1,exkursion11,workshop4,workshop8,workshop1
mail@67,vorname65,nachname66,True,stadt7,exkursion6,exkursion5,exkursion3,workshop2,workshop3,workshop6
